method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
base_model,,,,0.38796296296296295,0.24166666666666667,0.37037037037037035,0.612037037037037,
pca,10,1.0,both,0.3509259259259259,0.3138888888888889,0.3351851851851852,0.6490740740740741,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.0_both.npy
pca,10,1.25,both,0.3527777777777778,0.287962962962963,0.3592592592592593,0.6472222222222223,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.25_both.npy
pca,10,1.5,both,0.31574074074074077,0.29444444444444445,0.38981481481481484,0.6842592592592593,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.5_both.npy
pca,10,1.6,both,0.3314814814814815,0.31666666666666665,0.35185185185185186,0.6685185185185185,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.6_both.npy
pca,10,1.7,both,0.33240740740740743,0.31296296296296294,0.35462962962962963,0.6675925925925925,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.7_both.npy
pca,10,1.75,both,0.337037037037037,0.31203703703703706,0.3509259259259259,0.662962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.75_both.npy
pca,10,1.8,both,0.3398148148148148,0.3138888888888889,0.34629629629629627,0.6601851851851852,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.8_both.npy
pca,10,1.9,both,0.34444444444444444,0.31203703703703706,0.3435185185185185,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.9_both.npy
pca,10,2.0,both,0.33240740740740743,0.31666666666666665,0.3509259259259259,0.6675925925925925,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.0_both.npy
pca,10,2.1,both,0.33611111111111114,0.30925925925925923,0.35462962962962963,0.6638888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.1_both.npy
pca,10,2.2,both,0.3296296296296296,0.3212962962962963,0.3490740740740741,0.6703703703703704,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.2_both.npy
pca,10,2.25,both,0.32685185185185184,0.3212962962962963,0.35185185185185186,0.6731481481481482,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.25_both.npy
pca,10,2.3,both,0.32407407407407407,0.3212962962962963,0.35462962962962963,0.6759259259259259,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.3_both.npy
pca,10,2.4,both,0.32037037037037036,0.31666666666666665,0.362962962962963,0.6796296296296296,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.4_both.npy
pca,10,2.5,both,0.32222222222222224,0.3138888888888889,0.3638888888888889,0.6777777777777778,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.5_both.npy
pca,10,2.6,both,0.3296296296296296,0.30833333333333335,0.36203703703703705,0.6703703703703704,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.6_both.npy
pca,10,2.75,both,0.3314814814814815,0.30833333333333335,0.36018518518518516,0.6685185185185185,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.75_both.npy
pca,10,3.0,both,0.337037037037037,0.30462962962962964,0.35833333333333334,0.662962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha3.0_both.npy
pca,11,1.0,both,0.3388888888888889,0.3138888888888889,0.3472222222222222,0.6611111111111111,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.0_both.npy
pca,11,1.25,both,0.3685185185185185,0.3148148148148148,0.31666666666666665,0.6314814814814815,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.25_both.npy
pca,11,1.5,both,0.3611111111111111,0.3287037037037037,0.3101851851851852,0.6388888888888888,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.5_both.npy
pca,11,1.6,both,0.33425925925925926,0.3333333333333333,0.33240740740740743,0.6657407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.6_both.npy
pca,11,1.7,both,0.3351851851851852,0.33796296296296297,0.32685185185185184,0.6648148148148147,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.7_both.npy
pca,11,1.75,both,0.3277777777777778,0.3333333333333333,0.3388888888888889,0.6722222222222223,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.75_both.npy
pca,11,1.8,both,0.32222222222222224,0.34074074074074073,0.337037037037037,0.6777777777777778,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.8_both.npy
pca,11,1.9,both,0.3277777777777778,0.32592592592592595,0.34629629629629627,0.6722222222222223,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.9_both.npy
pca,11,2.0,both,0.33425925925925926,0.32592592592592595,0.3398148148148148,0.6657407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.0_both.npy
pca,11,2.1,both,0.34074074074074073,0.3351851851851852,0.32407407407407407,0.6592592592592592,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.1_both.npy
pca,11,2.2,both,0.34074074074074073,0.33055555555555555,0.3287037037037037,0.6592592592592592,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.2_both.npy
pca,11,2.25,both,0.34444444444444444,0.32592592592592595,0.3296296296296296,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.25_both.npy
pca,11,2.3,both,0.34444444444444444,0.32222222222222224,0.3333333333333333,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.3_both.npy
pca,11,2.4,both,0.3453703703703704,0.31666666666666665,0.33796296296296297,0.6546296296296297,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.4_both.npy
pca,11,2.5,both,0.3425925925925926,0.32222222222222224,0.3351851851851852,0.6574074074074074,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.5_both.npy
pca,11,2.6,both,0.3425925925925926,0.32685185185185184,0.33055555555555555,0.6574074074074074,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.6_both.npy
pca,11,2.75,both,0.3333333333333333,0.32407407407407407,0.3425925925925926,0.6666666666666667,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.75_both.npy
pca,11,3.0,both,0.3314814814814815,0.3194444444444444,0.3490740740740741,0.6685185185185185,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha3.0_both.npy
pca,14,1.0,both,0.4203703703703704,0.23703703703703705,0.3425925925925926,0.5796296296296297,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.0_both.npy
pca,14,1.25,both,0.36574074074074076,0.20462962962962963,0.42962962962962964,0.6342592592592593,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.25_both.npy
pca,14,1.5,both,0.33611111111111114,0.3037037037037037,0.36018518518518516,0.6638888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.5_both.npy
pca,14,1.6,both,0.34074074074074073,0.3138888888888889,0.3453703703703704,0.6592592592592592,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.6_both.npy
pca,14,1.7,both,0.34444444444444444,0.3194444444444444,0.33611111111111114,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer14_alpha1.7_both.npy
